title,url,time,starred,hash
"The AI bubble is so big it's propping up the US economy (for now)","https://www.bloodinthemachine.com/p/the-ai-bubble-is-so-big-its-propping",1754343674,0,JplxIJWK
"What the Columbia Settlement Really Means","http://knightcolumbia.org/blog/what-the-columbia-settlement-really-means",1754335010,0,MBwJrYFS
"Where Human Labor Meets ‘Digital Labor’","https://www.nytimes.com/2025/08/01/business/ai-digital-labor.html",1754250712,0,3DHWMfG7
"AI Is Coming for the Consultants. Inside McKinsey, ‘This Is Existential.’","https://www.wsj.com/tech/ai/mckinsey-consulting-firms-ai-strategy-89fbf1be?st=aHsnW6&reflink=desktopwebshare_permalink",1754174017,0,AGP5uJvX
"A.I. Researchers Are Negotiating $250 Million Pay Packages. Just Like NBA Stars.","https://www.nytimes.com/2025/07/31/technology/ai-researchers-nba-stars.html",1754159848,0,fJnDEMc3
"Thanks for Your $1 Billion Job Offer, Mark Zuckerberg. I’m Gonna Pass.","https://www.wsj.com/tech/ai/meta-zuckerberg-ai-recruiting-fail-e6107555?mod=hp_lead_pos7",1754159831,0,tj1e22QV
"Joel Embiid sees you","https://www.espn.com/nba/story/_/id/45747447/joel-embiid-philadelphia-76ers-star-sees-you",1753932603,0,C3H2wCoN
"The Trouble With Wanting Men","https://www.nytimes.com/2025/07/21/magazine/men-heterofatalism-dating-relationships.html",1753121112,0,k0sjXWrS
"Opinion | Why People Can’t Quit ChatGPT - The New York Times","https://www.nytimes.com/2025/07/16/opinion/ai-entertainment-chatgpt.html",1752792324,0,xGz6SZOB
"Can the NFL overcome Trump’s anti-Canada rhetoric? The Bills are banking on it","https://www.nytimes.com/athletic/6479455/2025/07/09/nfl-trump-buffalo-bills-canada/",1752058590,0,VT6yCzTH
"Debacle in the desert: will the Athletics’ $1.75bn stadium on the Vegas Strip ever be built?","https://www.theguardian.com/sport/2025/jul/02/athletics-las-vegas-stadium-john-fisher-mlb-debacle",1751922517,0,A0yOdmOU
"The ultimate guide to negotiating your comp","https://www.lennysnewsletter.com/p/the-ultimate-guide-to-negotiating",1747333738,0,51qihVZl
"The Populist Right Must Own Tariffs","https://www.astralcodexten.com/p/the-populist-right-must-own-tariffs",1746074536,0,n8RQYlOz
"The group chats that changed America","https://www.semafor.com/article/04/27/2025/the-group-chats-that-changed-america",1745814643,0,AKDHxBHB
