Podcast Name,RSS URL,Site URL,Exclude
Political Gabfest,https://feeds.megaphone.fm/slatespoliticalgabfest,https://slate.com/podcasts/political-gabfest,0
The NPR Politics Podcast,https://feeds.npr.org/510310/podcast.xml,https://npr.org,0
"Today, Explained",https://feeds.megaphone.fm/VMP5705694065,https://megaphone.fm,0
"""The Cognitive Revolution"" | AI Builders, Researchers, and Live Player Analysis",https://feeds.megaphone.fm/RINTP3108857801,https://megaphone.fm,0
ACQ2 by Acquired,https://feeds.transistor.fm/acq2,https://transistor.fm,0
Accidental Tech Podcast,https://cdn.atp.fm/rss/public?wtvryzdm,https://cdn.atp.fm,0
Acquired,https://feeds.transistor.fm/acquired,https://transistor.fm,0
Against the Rules with Michael Lewis,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/f4e26994-3ddb-4ec7-b855-ae32006cd5de/ea4fae0c-3282-4cfd-b315-ae32006cd5ec/podcast.rss,https://www.omnycontent.com,0
Decoder with Nilay Patel,https://feeds.megaphone.fm/recodedecode,https://megaphone.fm,0
Greatest Of All Talk (Stratechery Plus Edition),https://goat.passport.online/feed/podcast/6EynvegSpNaDpnt4DJsHzD,https://goat.passport.online,0
Plain English with Derek Thompson,https://feeds.megaphone.fm/plain-english,https://megaphone.fm,0
Practical AI,https://feeds.transistor.fm/practical-ai-machine-learning-data-science-llm,https://transistor.fm,0
Sharp Tech with Ben Thompson,https://sharptech.fm/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,https://sharptech.fm,0
Stratechery,https://rss.stratechery.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,https://rss.stratechery.passport.online,0
The Trojan Horse Affair,https://feeds.simplecast.com/B9KgArY4,https://simplecast.com,0
The Vergecast,https://feeds.megaphone.fm/vergecast,https://megaphone.fm,0
Planet Money,https://feeds.npr.org/510289/podcast.xml,https://npr.org,0
Slate Money,https://feeds.megaphone.fm/slatemoney,https://megaphone.fm,0
The Indicator from Planet Money,https://feeds.npr.org/510325/podcast.xml,https://npr.org,0
Slate Culture,https://feeds.megaphone.fm/slatesculturegabfest,https://megaphone.fm,0
The Prestige TV Podcast,https://feeds.megaphone.fm/tvconcierge,https://megaphone.fm,0
The Rewatchables,https://feeds.megaphone.fm/the-rewatchables,https://megaphone.fm,0
99% Invisible,https://feeds.simplecast.com/BqbsxVfO,https://simplecast.com,0
Radiolab,https://feeds.simplecast.com/EmVW7VGp,https://simplecast.com,0
Recipe Club,https://feeds.megaphone.fm/dave-chang-recipe-club,https://megaphone.fm,0
Ringer Food,https://feeds.megaphone.fm/house-of-carbs,https://megaphone.fm,0
The Recipe with Kenji and Deb,https://rss.pdrl.fm/cd4580/feed.therecipepodcast.com/,https://rss.pdrl.fm,0
All the Hacks with Chris Hutchins,https://feeds.megaphone.fm/ATHLLC4474951365,https://megaphone.fm,0
Animal Spirits Podcast,https://feeds.megaphone.fm/TCP6464651487,https://megaphone.fm,0
Articles of Interest,https://feed.articlesofinterest.club/,https://feed.articlesofinterest.club,0
Asianometry,https://asianometry.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,https://asianometry.passport.online,0
Bad Bets,https://video-api.wsj.com/podcast/rss/wsj/bad-bets?partner=itunes,https://video-api.wsj.com,0
Bodega Boys,https://feeds.soundcloud.com/users/soundcloud:users:169774121/sounds.rss,https://feeds.soundcloud.com,0
Channels with Peter Kafka,https://feeds.megaphone.fm/recodemedia,https://megaphone.fm,0
Conversations with Tyler,https://cowenconvos.libsyn.com/rss,https://cowenconvos.libsyn.com,0
Cortex,https://www.relay.fm/cortex/feed,https://www.relay.fm,0
Dithering,https://rss.dithering.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,https://rss.dithering.passport.online,0
Dwarkesh Podcast,https://api.substack.com/feed/podcast/69345.rss,https://api.substack.com,0
EconTalk,https://feeds.simplecast.com/wgl4XEgL,https://simplecast.com,0
Exponent,https://exponent.fm/feed/,https://exponent.fm,0
Greeking Out from National Geographic Kids,https://feeds.megaphone.fm/ESP4751925729,https://megaphone.fm,0
Hard Fork,https://feeds.simplecast.com/l2i9YnTd,https://simplecast.com,0
Hyperfixed,https://rss.pdrl.fm/d3cf31/feed.hyperfixedpod.com/,https://rss.pdrl.fm,0
Joie de Vivek - A Sacramento Kings Podcast,https://feeds.soundcloud.com/users/soundcloud:users:314185660/sounds.rss,https://feeds.soundcloud.com,0
Land of the Giants,https://feeds.megaphone.fm/landofthegiants,https://megaphone.fm,0
Lenny's Podcast: Product | Career | Growth,https://api.substack.com/feed/podcast/10845/private/bc48b913-6532-4b94-84e4-5ec754d742cb.rss,https://api.substack.com,0
Lenny's Reads,https://api.substack.com/feed/podcast/10845/s/215368.rss,https://api.substack.com,0
Lex Fridman Podcast,https://lexfridman.com/feed/podcast/,https://lexfridman.com,0
Mixed Signals from Semafor Media,https://feeds.megaphone.fm/mixed-signals-semafor-media,https://megaphone.fm,0
Nice White Parents,https://feeds.simplecast.com/Z4wHC1c2,https://simplecast.com,0
Not Investment Advice,https://feeds.acast.com/public/shows/607879ddfbe1eb33d6525119,https://feeds.acast.com,0
Odd Lots,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/8a94442e-5a74-4fa2-8b8d-ae27003a8d6b/982f5071-765c-403d-969d-ae27003a8d83/podcast.rss,https://www.omnycontent.com,0
On the Media,https://feeds.simplecast.com/o4jAFXaw,https://simplecast.com,0
On with Kara Swisher,https://feeds.megaphone.fm/VMP1684715893,https://megaphone.fm,0
