Podcast Name,RSS URL,Site URL,Exclude
The Moth,http://feeds.feedburner.com/themothpodcast,https://feeds.feedburner.com,0
You Made It Weird with Pete Holmes,http://feeds.feedburner.com/YouMadeItWeird,https://feeds.feedburner.com,0
BackStory,https://audioboom.com/channels/4987698.rss,https://audioboom.com,0
Slate Money,https://feeds.megaphone.fm/slatemoney,https://megaphone.fm,0
"Death, Sex & Money",http://feeds.feedburner.com/deathsexmoney,https://feeds.feedburner.com,0
This Week in Virology,https://twiv.libsyn.com/twiv,https://twiv.libsyn.com/twiv,0
"Amicus With Dahlia Lithwick | Law, justice, and the courts",https://feeds.megaphone.fm/slatesamicuswithdahlialithwick,https://megaphone.fm,0
This American Life,https://www.thisamericanlife.org/podcast/rss.xml,https://www.thisamericanlife.org,0
Cortex,https://www.relay.fm/cortex/feed,https://www.relay.fm,0
Top Four,https://www.relay.fm/topfour/feed,https://www.relay.fm,0
Explain It to Me,https://feeds.megaphone.fm/theweeds,https://megaphone.fm,0
Upgrade,https://www.relay.fm/upgrade/feed,https://www.relay.fm,0
Under the Radar,https://www.relay.fm/radar/feed,https://www.relay.fm,0
The Press Box,https://feeds.megaphone.fm/the-press-box,https://megaphone.fm,0
Bear Download — A Chicago Bears podcast,https://bearsdownload.libsyn.com/rss,https://bearsdownload.libsyn.com,0
The Ringer NFL Show,https://feeds.megaphone.fm/the-ringer-nfl-show,https://megaphone.fm,0
The Ringer NBA Show,https://feeds.megaphone.fm/the-ringer-nba-show,https://megaphone.fm,0
Ask Me Another,https://feeds.npr.org/510299/podcast.xml,https://npr.org,0
Invisibilia,https://feeds.npr.org/510307/podcast.xml,https://npr.org,0
Larry Wilmore: Black on the Air,https://feeds.megaphone.fm/larry-wilmore,https://megaphone.fm,0
50 Things That Made the Modern Economy,https://podcasts.files.bbci.co.uk/p04b1g3c.rss,https://podcasts.files.bbci.co.uk,0
Joie de Vivek - A Sacramento Kings Podcast,https://feeds.soundcloud.com/users/soundcloud:users:314185660/sounds.rss,https://feeds.soundcloud.com,0
Ringer Food,https://feeds.megaphone.fm/house-of-carbs,https://megaphone.fm,0
Making Sense with Sam Harris,https://wakingup.libsyn.com/rss,https://wakingup.libsyn.com,0
The Mismatch,https://feeds.megaphone.fm/the-jj-redick-podcast,https://megaphone.fm,0
CoinTalk™️,https://feeds.simplecast.com/yeL_8yPl,https://simplecast.com,0
Business Wars,https://rss.art19.com/business-wars,https://rss.art19.com,0
Slow Burn,https://feeds.megaphone.fm/watergate,https://megaphone.fm,0
Decoder Ring,https://feeds.megaphone.fm/decoderring,https://megaphone.fm,0
Open to Debate,https://feeds.megaphone.fm/PNP1207584390,https://megaphone.fm,0
"Big Mood, Little Mood with Daniel M. Lavery",https://feeds.megaphone.fm/SM3958815784,https://megaphone.fm,0
Political Gabfest,https://feeds.megaphone.fm/slatespoliticalgabfest,https://megaphone.fm,0
Slate Culture,https://feeds.megaphone.fm/slatesculturegabfest,https://megaphone.fm,0
Practical AI,https://feeds.transistor.fm/practical-ai-machine-learning-data-science-llm,https://transistor.fm,0
Scholars Strategy Network's No Jargon,https://nojargon.libsyn.com/rss,https://nojargon.libsyn.com,0
The Ryen Russillo Podcast,https://feeds.megaphone.fm/the-ryen-russillo-podcast,https://megaphone.fm,0
Special Sauce with Ed Levine,https://feed.thespecialsaucepodcast.com,https://feed.thespecialsaucepodcast.com,0
Pivot,https://feeds.megaphone.fm/pivot,https://megaphone.fm,0
The Knowledge Project with Shane Parrish,https://feeds.megaphone.fm/FSMI7575968096,https://megaphone.fm,0
In the Making,https://feeds.simplecast.com/IWd_z6c8,https://simplecast.com,0
The Watch,https://feeds.megaphone.fm/the-watch,https://megaphone.fm,0
Exponent,https://exponent.fm/feed/,https://exponent.fm,0
Filmspotting,https://feeds.megaphone.fm/filmspotting,https://megaphone.fm,0
Future Perfect,https://feeds.megaphone.fm/futureperfect,https://megaphone.fm,0
