Category,Podcast Name,Count,Future,Transcript_Only,Exclude
News & Politics,Political Gabfest,4,1,1,0
News & Politics,The NPR Politics Podcast,2,1,1,0
News & Politics,"Today, Explained",1,1,1,0
Tech & Business,"""The Cognitive Revolution"" | AI Builders, Researchers, and Live Player Analysis",1,1,1,0
Tech & Business,ACQ2 by Acquired,1000,1,0,0
Tech & Business,Accidental Tech Podcast,10,1,0,0
Tech & Business,Acquired,1000,1,0,0
Tech & Business,Against the Rules with Michael Lewis,100,1,1,0
Tech & Business,Decoder with Nilay Patel,2,1,1,0
Tech & Business,Greatest Of All Talk (Stratechery Plus Edition),2,1,1,0
Tech & Business,Plain English with Derek Thompson,20,1,1,0
Tech & Business,Practical AI,2,1,1,0
Tech & Business,Sharp Tech with Ben Thompson,1000,1,1,0
Tech & Business,Stratechery,1000,1,1,0
Tech & Business,The Trojan Horse Affair,100,1,1,0
Tech & Business,The Vergecast,5,1,1,0
Finance & Economics,Planet Money,100,1,1,0
Finance & Economics,Slate Money,5,1,1,0
Finance & Economics,The Indicator from Planet Money,0,1,1,0
Culture & Entertainment,Slate Culture,10,1,1,0
Culture & Entertainment,The Prestige TV Podcast,10,1,1,0
Culture & Entertainment,The Rewatchables,100,1,1,0
Science & Education,99% Invisible,10,1,0,0
Science & Education,Radiolab,100,1,0,0
Food,Recipe Club,5,1,1,0
Food,Ringer Food,0,1,1,0
Food,The Recipe with Kenji and Deb,100,1,1,0
Recommended High-Value,Acquired,1000,1,0,0
Recommended High-Value,Conversations with Tyler,100,1,1,0
Recommended High-Value,EconTalk,10,1,1,0
Recommended High-Value,Hard Fork,100,1,1,0
Recommended High-Value,Lex Fridman Podcast,100,1,1,0
Recommended High-Value,Planet Money,0,1,1,0
Recommended High-Value,Radiolab,0,1,0,0
Recommended High-Value,The Ezra Klein Show,100,1,1,0
Recommended High-Value,The Journal.,10,1,1,0
Recommended High-Value,The Knowledge Project with Shane Parrish,100,1,1,0
Recommended High-Value,This American Life,100,1,0,0
