Podcast Name,RSS URL,Site URL,Exclude
The Moth,http://feeds.feedburner.com/themothpodcast,,0
You Made It Weird with Pete Holmes,http://feeds.feedburner.com/YouMadeItWeird,,0
BackStory,https://audioboom.com/channels/4987698.rss,,0
Slate Money,https://feeds.megaphone.fm/slatemoney,,0
"Death, Sex &amp; Money",http://feeds.feedburner.com/deathsexmoney,,0
This Week in Virology,https://twiv.libsyn.com/twiv,,0
"Amicus With Dahlia Lithwick | Law, justice, and the courts",https://feeds.megaphone.fm/slatesamicuswithdahlialithwick,,0
This American Life,https://www.thisamericanlife.org/podcast/rss.xml,,0
Cortex,https://www.relay.fm/cortex/feed,,0
Top Four,https://www.relay.fm/topfour/feed,,0
Explain It to Me,https://feeds.megaphone.fm/theweeds,,0
Upgrade,https://www.relay.fm/upgrade/feed,,0
Under the Radar,https://www.relay.fm/radar/feed,,0
The Press Box,https://feeds.megaphone.fm/the-press-box,,0
Bear Download — A Chicago Bears podcast,https://bearsdownload.libsyn.com/rss,,0
The Ringer NFL Show,https://feeds.megaphone.fm/the-ringer-nfl-show,,0
The Ringer NBA Show,https://feeds.megaphone.fm/the-ringer-nba-show,,0
Ask Me Another,https://feeds.npr.org/510299/podcast.xml,,0
Invisibilia,https://feeds.npr.org/510307/podcast.xml,,0
Larry Wilmore: Black on the Air,https://feeds.megaphone.fm/larry-wilmore,,0
50 Things That Made the Modern Economy,https://podcasts.files.bbci.co.uk/p04b1g3c.rss,,0
Joie de Vivek - A Sacramento Kings Podcast,https://feeds.soundcloud.com/users/soundcloud:users:314185660/sounds.rss,,0
Ringer Food,https://feeds.megaphone.fm/house-of-carbs,,0
Making Sense with Sam Harris,https://wakingup.libsyn.com/rss,,0
The Mismatch,https://feeds.megaphone.fm/the-jj-redick-podcast,,0
CoinTalk™️,https://feeds.simplecast.com/yeL_8yPl,,0
Business Wars,https://rss.art19.com/business-wars,,0
Slow Burn,https://feeds.megaphone.fm/watergate,,0
Decoder Ring,https://feeds.megaphone.fm/decoderring,,0
Open to Debate,https://feeds.megaphone.fm/PNP1207584390,,0
"Big Mood, Little Mood with Daniel M. Lavery",https://feeds.megaphone.fm/SM3958815784,,0
Political Gabfest,https://feeds.megaphone.fm/slatespoliticalgabfest,,0
Slate Culture,https://feeds.megaphone.fm/slatesculturegabfest,,0
Practical AI,https://feeds.transistor.fm/practical-ai-machine-learning-data-science-llm,,0
Scholars Strategy Network&apos;s No Jargon,https://nojargon.libsyn.com/rss,,0
The Ryen Russillo Podcast,https://feeds.megaphone.fm/the-ryen-russillo-podcast,,0
Special Sauce with Ed Levine,https://feed.thespecialsaucepodcast.com,,0
Pivot,https://feeds.megaphone.fm/pivot,,0
The Knowledge Project with Shane Parrish,https://feeds.megaphone.fm/FSMI7575968096,,0
In the Making,https://feeds.simplecast.com/IWd_z6c8,,0
The Watch,https://feeds.megaphone.fm/the-watch,,0
Exponent,https://exponent.fm/feed/,,0
Filmspotting,https://feeds.megaphone.fm/filmspotting,,0
Future Perfect,https://feeds.megaphone.fm/futureperfect,,0
Decoder with Nilay Patel,https://feeds.megaphone.fm/recodedecode,,0
Trial by Content,https://feeds.megaphone.fm/recappables,,0
The Gray Area with Sean Illing,https://feeds.megaphone.fm/theezrakleinshow,,0
Channels with Peter Kafka,https://feeds.megaphone.fm/recodemedia,,0
The Vergecast,https://feeds.megaphone.fm/vergecast,,0
Articles of Interest,https://feed.articlesofinterest.club/,,0
Welcome to LA,https://feeds.libsyn.com/575400/rss,,0
Marketplace,https://www.marketplace.org/feed/podcast/marketplace,,0
Land of the Giants,https://feeds.megaphone.fm/landofthegiants,,0
Ringer Dish,https://feeds.megaphone.fm/ringer-dish,,0
This Is Uncomfortable,https://feeds.publicradio.org/public_feeds/this-is-uncomfortable,,0
The Journal.,https://video-api.wsj.com/podcast/rss/wsj/the-journal,,0
Conversations with Tyler,https://cowenconvos.libsyn.com/rss,,0
16 Minutes News by a16z,https://feeds.simplecast.com/j9kKMsfH,,0
BROKEN: Jeffrey Epstein,https://rss.pdrl.fm/9fdff8/feeds.megaphone.fm/brokenjeffreyepstein,,0
The Lead,https://rss.art19.com/the-lead,,0
Scam Goddess,https://feeds.simplecast.com/4YELvXgu,,0
Hollinger &amp; Duncan NBA Show - NBA Basketball Podcast,https://feeds.simplecast.com/58vfNLpd,,0
"Today, Explained",https://feeds.megaphone.fm/VMP5705694065,,0
Freakonomics Radio,https://feeds.simplecast.com/Y8lFbOT4,,0
You&apos;re Wrong About,https://feeds.buzzsprout.com/1112270.rss,,0
The Prof G Pod with Scott Galloway,https://feeds.megaphone.fm/WWO6655869236,,0
Numbers and Narrative,https://numbersandnarrative.libsyn.com/rss,,0
"All-In with Chamath, Jason, Sacks &amp; Friedberg",https://allinchamathjason.libsyn.com/rss,,0
Planet Money,https://feeds.npr.org/510289/podcast.xml,,0
Pop Culture Happy Hour,https://feeds.npr.org/510282/podcast.xml,,0
The NPR Politics Podcast,https://feeds.npr.org/510310/podcast.xml,,0
Throughline,https://feeds.npr.org/510333/podcast.xml,,0
The Indicator from Planet Money,https://feeds.npr.org/510325/podcast.xml,,0
Wait Wait... Don&apos;t Tell Me!,https://feeds.npr.org/344098539/podcast.xml,,0
Time To Say Goodbye,https://api.substack.com/feed/podcast/38441.rss,,0
Please Clap,http://andrewandkerry.com/pleaseclap/feed.xml,,0
Book of Basketball 2.0,https://feeds.megaphone.fm/the-book-of-basketball-podcast,,0
The Rewatchables,https://feeds.megaphone.fm/the-rewatchables,,0
The Big Picture,https://feeds.megaphone.fm/the-big-picture,,0
The Bill Simmons Podcast,https://feeds.megaphone.fm/the-bill-simmons-podcast,,0
Dwarkesh Podcast,https://api.substack.com/feed/podcast/69345.rss,,0
PTI,https://feeds.megaphone.fm/ESP7239282233,,0
Greeking Out from National Geographic Kids,https://feeds.megaphone.fm/ESP4751925729,,0
Lex Fridman Podcast,https://lexfridman.com/feed/podcast/,,0
Million Bazillion,https://feeds.publicradio.org/public_feeds/million-bazillion,,0
&quot;Age of Miracles&quot;,https://feeds.megaphone.fm/ageofmiracles,,0
Raising Health,https://feeds.simplecast.com/BXDamaKF,,0
Chameleon: Dr. Miracle,https://rss.pdrl.fm/5b6e1a/feeds.megaphone.fm/chameleon,,0
The Athletic Football Show: A show about the NFL,https://feeds.acast.com/public/shows/681cc905bdc60241406b737f,,0
Hoge &amp; Jahns: a show about the Chicago Bears,https://feeds.simplecast.com/DxWJevnw,,0
Coin Bureau,https://feeds.buzzsprout.com/1442614.rss,,0
Recipe Club,https://feeds.megaphone.fm/dave-chang-recipe-club,,0
The Anthropocene Reviewed,https://feeds.simplecast.com/p7S4nr_h,,0
S-Town,https://feeds.simplecast.com/CpvnpIaj,,0
Serial,https://feeds.simplecast.com/xl36XBC2,,0
EconTalk,https://feeds.simplecast.com/wgl4xEgL,,0
The Swyx Mixtape,https://feeds.transistor.fm/learn-in-podcast,,0
Going Deep with Chad and JT,https://www.omnycontent.com/d/playlist/885ace83-027a-47ad-ad67-aca7002f1df8/bec1e3b0-e0bc-4bfc-a9d2-aca900022915/e2a84fa8-ca61-495c-9da3-aca90002291e/podcast.rss,,0
CHGO Chicago Bears Podcast,https://feeds.simplecast.com/oSbdDATR,,0
CryptoNews Podcast,https://feeds.buzzsprout.com/1735660.rss,,0
Not Investment Advice,https://feeds.acast.com/public/shows/607879ddfbe1eb33d6525119,,0
Why Is This Happening? The Chris Hayes Podcast,https://podcastfeeds.nbcnews.com/Ftpd36Dg,,0
The Lawfare Podcast,https://feeds.acast.com/public/shows/60518a52f69aa815d2dba41c,,0
Bodega Boys,https://feeds.soundcloud.com/users/soundcloud:users:169774121/sounds.rss,,0
99% Invisible,https://feeds.simplecast.com/BqbsxVfO,,0
Waveform: The MKBHD Podcast,https://feeds.megaphone.fm/STU4418364045,,0
The Full Go with Jason Goff,https://feeds.megaphone.fm/the-full-go,,0
Impolitic with John Heilemann,https://feeds.megaphone.fm/hell-high-water,,0
The Prestige TV Podcast,https://feeds.megaphone.fm/tvconcierge,,0
People I (Mostly) Admire,https://feeds.simplecast.com/rP60Wf24,,0
Bad Bets,https://video-api.wsj.com/podcast/rss/wsj/bad-bets?partner=itunes,,0
Plain English with Derek Thompson,https://feeds.megaphone.fm/plain-english,,0
Hidden Brain,https://feeds.simplecast.com/kwWc0lhf,,0
Intelligence Squared,https://feeds.megaphone.fm/NSR6363847171,,0
ACQ2 by Acquired,https://feeds.transistor.fm/acq2,,0
The Sporkful,https://feeds.simplecast.com/n91GPFY5,,0
Christopher Kimball’s Milk Street Radio,https://publicfeeds.net/f/9135/feed-rss.xml,,0
Big Technology Podcast,https://feeds.megaphone.fm/LI3617121267,,0
The Town with Matthew Belloni,https://feeds.megaphone.fm/the-town-with-matthew-belloni,,0
The Ringer F1 Show,https://feeds.megaphone.fm/paddock-pass,,0
SI Media With Jimmy Traina,https://feeds.redcircle.com/e3b3fd60-e66c-4564-a045-969f9b0fa72a,,0
The Powers That Be: Daily,https://feeds.megaphone.fm/powers-that-be,,0
My Year in Mensa,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/b940fe2f-2f6a-447a-91b5-ae2e00387257/e02c6837-fce9-4fb1-85f5-ae2e00387265/podcast.rss,,0
Masters in Business,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/4e4cd910-40a1-4619-a5f3-ae2b0012ffff/5873a3cb-298f-40bc-b71f-ae2b0013000d/podcast.rss,,0
Odd Lots,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/8a94442e-5a74-4fa2-8b8d-ae27003a8d6b/982f5071-765c-403d-969d-ae27003a8d83/podcast.rss,,0
Revisionist History,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/0e563f45-9d14-4ce8-8ef0-ae32006cd7e7/0d4cc74d-fff7-4b89-8818-ae32006cd7f0/podcast.rss,,0
Against the Rules with Michael Lewis,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/f4e26994-3ddb-4ec7-b855-ae32006cd5de/ea4fae0c-3282-4cfd-b315-ae32006cd5ec/podcast.rss,,0
The Fifth Column,https://api.substack.com/feed/podcast/815642.rss,,0
The Tony Kornheiser Show,https://feeds.megaphone.fm/the-tony-kornheiser-show,,0
The Intelligence from The Economist,https://access.acast.com/rss/d556eb54-6160-4c85-95f4-47d9f5216c49,,0
Fantasy Football Happy Hour with Matthew Berry,https://feeds.simplecast.com/8PBMLPBg,,0
On with Kara Swisher,https://feeds.megaphone.fm/VMP1684715893,,0
Song Exploder,https://feed.songexploder.net/SongExploder,,0
FRONTLINE: Film Audio Track | PBS,https://feeds.feedburner.com/FrontlineAudiocastPbs,,0
the memory palace,http://feeds.thememorypalace.us/thememorypalace,,0
Benjamen Walker&apos;s Theory of Everything,https://feeds.feedburner.com/TOE,,0
The Citizen Stewart Show,https://feeds.megaphone.fm/LDI7859309966,,0
Stratechery,https://rss.stratechery.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,,0
Dithering,https://rss.dithering.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,,0
Sharp Tech with Ben Thompson,https://sharptech.fm/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,,0
Sharp China with Sinocism’s Bill Bishop,https://sharpchina.fm/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,,0
Greatest Of All Talk (Stratechery Plus Edition),https://goat.passport.online/feed/podcast/6EynvegSpNaDpnt4DJsHzD,,0
All the Hacks with Chris Hutchins,https://feeds.megaphone.fm/ATHLLC4474951365,,0
"&quot;The Cognitive Revolution&quot; | AI Builders, Researchers, and Live Player Analysis",https://feeds.megaphone.fm/RINTP3108857801,,0
P1 with Matt and Tommy,https://feeds.acast.com/public/shows/63e24225436c36001119fc66,,0
The Coldest Case In Laramie,https://feeds.simplecast.com/wHqls8d1,,0
Acquired,https://feeds.transistor.fm/acquired,,0
Normal Gossip,https://publicfeeds.net/f/3492/feed-rss.xml,,0
The Urbanist Agenda,https://rss.art19.com/the-urbanist-agenda,,0
Invest Like the Best with Patrick O&apos;Shaughnessy,https://feeds.megaphone.fm/CLS2859450455,,0
